Hash(v1.0.4.0),Name
0x2CA8F641,GET_ASPECT_RATIO
0x7A6D718F,LINE
0xFF44780E,DRAW_CORONA
0x6A396E9A,DRAW_LIGHT_WITH_RANGE
0x4DD1CB3A,DRAW_SPHERE
0x304D0EEF,DRAW_DEBUG_SPHERE
0xCD32EDF2,ADD_SPHERE
0x59C34F9B,REMOVE_SPHERE
0x265D2CBA,CREATE_USER_3D_MARKER
0xE7352A20,REMOVE_USER_3D_MARKER
0x6ECBA9ED,DRAW_COLOURED_CYLINDER
0xF541B690,CREATE_CHECKPOINT
0xB66CF3CA,DELETE_CHECKPOINT
0x1B58B5C7,DRAW_CHECKPOINT
0xCDC4B816,DRAW_CHECKPOINT_WITH_ALPHA
0x53AC9059,LOAD_TXD
0x87A1CC5B,REMOVE_TXD
0x968FB1BB,GET_TXD
0x6DC9C895,GET_TEXTURE
0xDB7643AC,RELEASE_TEXTURE
0x9C4B3AE4,REQUEST_STREAMED_TXD
0x0B955AAA,HAS_STREAMED_TXD_LOADED
0x92593BE4,MARK_STREAMED_TXD_AS_NO_LONGER_NEEDED
0x33E6BA2D,GET_TEXTURE_FROM_STREAMED_TXD
0x2310CA9A,USE_MASK
0xF03C5117,SET_MASK
0xDD2BFC77,DRAW_RECT
0x275DE46E,SET_SPRITES_DRAW_BEFORE_FADE
0x21459032,SET_SPRITE_HDR_MULTIPLIER
0x1FEC16B0,DRAW_SPRITE
0x728D1B2B,DRAW_TOPLEVEL_SPRITE
0x6938A42D,TOGGLE_TOPLEVEL_SPRITE
0x430D87C7,DRAW_SPRITE_WITH_UV
0x397782D8,SET_CURRENT_MOVIE
0x4F39ED7A,PLAY_MOVIE
0x7827E516,STOP_MOVIE
0x9EAF5CA0,RELEASE_MOVIE
0xF563194B,DRAW_MOVIE
0xA1930880,SET_MOVIE_TIME
0x21D93ADF,SET_MOVIE_VOLUME
0x5272CDC4,DRAW_WINDOW
0x91FEC4DF,DRAW_CURVED_WINDOW
0xE9A0EA2C,ENABLE_SHADOWS
0x0EE22F41,ENABLE_FANCY_WATER
0x217781B1,ENABLE_DEFERRED_LIGHTING
0x0C24725C,SET_GLOBAL_RENDER_FLAGS
0x29F3572F,GET_SCREEN_RESOLUTION
0x17E8245B,GET_PHYSICAL_SCREEN_RESOLUTION
0x096DAA4D,GET_TEXTURE_RESOLUTION
0xEC717AEF,GET_IS_WIDESCREEN
0x1C340359,GET_IS_HIDEF
0xD6B045DF,FORCE_LOADING_SCREEN
0x94C4F762,TRIGGER_PTFX
0x98502552,TRIGGER_PTFX_ON_PED
0x9AB3E389,TRIGGER_PTFX_ON_PED_BONE
0x6337D904,TRIGGER_PTFX_ON_VEH
0x3325AB9C,TRIGGER_PTFX_ON_OBJ
0x30DACB16,TRIGGER_PTFX_ON_OBJ_BONE
0xA3126963,START_PTFX
0xFD749E83,START_PTFX_ON_PED
0x51A7FB1B,START_PTFX_ON_PED_BONE
0x7475356F,START_PTFX_ON_VEH
0xD8AA4503,START_PTFX_ON_OBJ
0x3101366B,START_PTFX_ON_OBJ_BONE
0x53C54911,STOP_PTFX
0x96DD20B9,UPDATE_PTFX_OFFSETS
0x14BAAF08,EVOLVE_PTFX
0xDB647091,SET_PTFX_CAM_INSIDE_VEHICLE
0x5AF920A1,REMOVE_PTFX_FROM_VEHICLE
0xFA481384,REMOVE_PTFX_FROM_PED
0x4B3A26AA,WASH_VEHICLE_TEXTURES
0xA81F3638,SET_TIMECYCLE_MODIFIER
0x8D8DF8EE,CLEAR_TIMECYCLE_MODIFIER
0xD864E17C,GET_WATER_HEIGHT
0x262017F8,GET_WATER_HEIGHT_NO_WAVES
0x74537488,SYNCH_RECORDING_WITH_WATER
0x7057B1C6,IS_PLACE_CAR_BOMB_ACTIVE
0x61582290,GET_PLAYER_TO_PLACE_BOMB_IN_CAR
0xA99B76A1,GET_TASK_PLACE_CAR_BOMB_UNSUCCESSFUL
0x92E29E34,GET_IS_DEPOSIT_ANIM_RUNNING
0x5AEEDF6D,ALLOCATE_SCRIPT_TO_RANDOM_PED
0x95A2BC99,ALLOCATE_SCRIPT_TO_OBJECT
0x3224777E,SWITCH_OBJECT_BRAINS
0xBA4CAA56,IS_OBJECT_WITHIN_BRAIN_ACTIVATION_RANGE
0x725D91F7,REGISTER_WORLD_POINT_SCRIPT_BRAIN
0x2CF305A0,IS_WORLD_POINT_WITHIN_BRAIN_ACTIVATION_RANGE
0x9108AAA7,ADD_NETWORK_RESTART
0x6DC1D245,REMOVE_ALL_NETWORK_RESTART_POINTS
0x34E5C7E3,TELEPORT_NETWORK_PLAYER
0xDD08D07A,RESURRECT_NETWORK_PLAYER
0xAF6A8802,HOW_LONG_HAS_NETWORK_PLAYER_BEEN_DEAD_FOR
0x7645E867,AWARD_NETWORK_POINTS
0x695996A7,IS_NETWORK_PLAYER_ACTIVE
0x202484D0,FIND_NETWORK_RESTART_POINT
0xE7BA498E,NETWORK_PLAYER_HAS_DIED_RECENTLY
0xC48C3103,FIND_NETWORK_KILLER_OF_PLAYER
0xD6473E63,GET_DESTROYER_OF_NETWORK_ID
0x01F5C0CD,PLAYER_WANTS_TO_JOIN_NETWORK_GAME
0xE1027B43,TELL_NET_PLAYER_TO_START_PLAYING
0xF3411DB1,LOCAL_PLAYER_IS_READY_TO_START_PLAYING
0xA3594132,LAUNCH_LOCAL_PLAYER_IN_NETWORK_GAME
0x2BCBA429,HAS_PLAYER_COLLECTED_PICKUP
0x7690BFF6,IS_CHAR_ON_PLAYER_MACHINE
0x301E53FD,IS_VEHICLE_ON_PLAYER_MACHINE
0xD4A13BDA,IS_OBJECT_ON_PLAYER_MACHINE
0xDA302665,IS_THIS_MACHINE_THE_SERVER
0xBEDD194D,REGISTER_HOST_BROADCAST_VARIABLES
0xF1732769,REGISTER_CLIENT_BROADCAST_VARIABLES
0xAA1C6D31,IS_NETWORK_CONNECTED
0x1C1CF453,IS_NETWORK_GAME_RUNNING
0x9249610B,IS_NETWORK_GAME_PENDING
0x0CDAFC3E,IS_RUNNING_NETWORK_SCRIPT
0x4FA366E8,GET_NETWORK_ID_FROM_PED
0x700C3DDA,GET_NETWORK_ID_FROM_VEHICLE
0x9FA75090,GET_NETWORK_ID_FROM_OBJECT
0xC43D0ABB,GET_PED_FROM_NETWORK_ID
0x771F4AC6,GET_VEHICLE_FROM_NETWORK_ID
0x8055551F,GET_OBJECT_FROM_NETWORK_ID
0x36438285,GET_CAMERA_FROM_NETWORK_ID
0x4FFE7D83,DOES_PED_EXIST_WITH_NETWORK_ID
0x99302E1E,DOES_VEHICLE_EXIST_WITH_NETWORK_ID
0xE09AD5CE,DOES_OBJECT_EXIST_WITH_NETWORK_ID
0xBE9F9D50,DOES_CAMERA_EXIST_WITH_NETWORK_ID
0x2BDADF3F,GIVE_CONTROL_OF_NETWORK_ID_TO_CLIENT
0x0D4C442A,REQUEST_CONTROL_OF_NETWORK_ID
0x83013662,RETURN_CONTROL_OF_NETWORK_ID_TO_SERVER
0x3D0B0270,HAS_CONTROL_OF_NETWORK_ID
0x3C4B2083,DOES_PLAYER_HAVE_CONTROL_OF_NETWORK_ID
0x0E4B4841,HAS_NETWORK_PLAYER_LEFT_GAME
0x8B87F9E1,SET_NETWORK_PLAYER_AS_VIP
0x8C0A93E3,GET_NETWORK_PLAYER_VIP
0xF6839E86,SET_TEAM_COLOUR
0xA5B47FA7,GET_TEAM_COLOUR
0xEAEC3986,GET_TEAM_RGB_COLOUR
0x0F56413E,NETWORK_IS_NETWORK_AVAILABLE
0x9A402720,NETWORK_IS_LINK_CONNECTED
0xF599D235,NETWORK_IS_COMMON_EPISODE
0xA396ACDE,NETWORK_GET_FRIEND_COUNT
0x97420B6D,NETWORK_GET_FRIEND_NAME
0xE0A42430,NETWORK_IS_FRIEND_ONLINE
0xC54365C2,NETWORK_IS_FRIEND_IN_SAME_TITLE
0x58D0361F,NETWORK_SHOW_FRIEND_PROFILE_UI
0x4F05A4BE,NETWORK_SHOW_PLAYER_PROFILE_UI
0x03380FC1,NETWORK_SHOW_PLAYER_FEEDBACK_UI
0xB04FC561,NETWORK_GET_NUM_PLAYERS_MET
0xA70BA410,NETWORK_GET_MET_PLAYER_NAME
0x2AB80821,NETWORK_SHOW_MET_PLAYER_PROFILE_UI
0x7759A85A,NETWORK_SHOW_MET_PLAYER_FEEDBACK_UI
0x91E81052,NETWORK_IS_SESSION_INVITABLE
0x81A2A4CA,NETWORK_INVITE_FRIEND
0x9C8802DA,NETWORK_DID_INVITE_FRIEND
0x686548FD,NETWORK_CHECK_INVITE_ARRIVAL
0x0CE1CB74,NETWORK_CLEAR_INVITE_ARRIVAL
0xE691321E,NETWORK_GET_NUM_UNACCEPTED_INVITES
0x34A7E847,NETWORK_GET_UNACCEPTED_INVITER_NAME
0x0FF5356E,NETWORK_GET_UNACCEPTED_INVITE_EPISODE
0xF66BCD00,NETWORK_GET_UNACCEPTED_INVITE_GAME_MODE
0xFB31FA9C,NETWORK_ACCEPT_INVITE
0xD780795D,NETWORK_HAVE_ACCEPTED_INVITE
0x95B2C62F,NETWORK_IS_INVITEE_ONLINE
0x9060239E,NETWORK_HAVE_SUMMONS
0x95A210E9,NETWORK_CLEAR_SUMMONS
0x7FA5A17C,GET_EPISODE_INDEX_FROM_SUMMONS
0xDA9FD9DB,NETWORK_IS_PLAYER_TALKING
0x451FB6B6,NETWORK_PLAYER_HAS_HEADSET
0xCE451908,NETWORK_SET_PLAYER_MUTED
0x7A21050E,NETWORK_IS_PLAYER_MUTED_BY_ME
0xE128F2B0,NETWORK_AM_I_MUTED_BY_PLAYER
0xAE4F4560,NETWORK_IS_PLAYER_BLOCKED_BY_ME
0x953EF45E,NETWORK_AM_I_BLOCKED_BY_PLAYER
0xDCDAC012,NETWORK_SET_TALKER_FOCUS
0x67555C66,NETWORK_SET_TALKER_PROXIMITY
0x3813019A,NETWORK_SET_TEAM_ONLY_CHAT
0xD7A9CCE2,NETWORK_SET_LOCAL_PLAYER_CAN_TALK
0xD5ECB496,NETWORK_PLAYER_HAS_COMM_PRIVS
0x10D67C87,NETWORK_SET_TEXT_CHAT_RECIPIENTS
0x22EC4C73,NETWORK_IS_PLAYER_TYPING
0x2C90236B,NETWORK_PLAYER_HAS_KEYBOARD
0x25F07B0F,NETWORK_SET_LOCAL_PLAYER_IS_TYPING
0x85022D87,NETWORK_SEND_TEXT_CHAT
0x1A699BDA,NETWORK_GET_PLAYER_ID_OF_NEXT_TEXT_CHAT
0xE781880A,NETWORK_GET_NEXT_TEXT_CHAT
0xEF63BFDF,NETWORK_HAVE_ONLINE_PRIVILEGES
0x7E553FB6,NETWORK_FIND_GAME
0x3AE44227,NETWORK_FIND_GAME_PENDING
0x3429AFE6,NETWORK_GET_NUMBER_OF_GAMES
0x79A5F0C4,NETWORK_HOST_GAME
0x70224857,NETWORK_HOST_RENDEZVOUS
0x6895F923,NETWORK_IS_OPERATION_PENDING
0x7CA0E52B,NETWORK_HOST_GAME_PENDING
0x910F6483,NETWORK_HOST_GAME_SUCCEEDED
0x142B7132,NETWORK_SET_SCRIPT_LOBBY_STATE
0x093FB4C8,NETWORK_START_SESSION
0x9D854A37,NETWORK_IS_SESSION_STARTED
0x5EDF1995,NETWORK_START_SESSION_PENDING
0xA58E8638,NETWORK_START_SESSION_SUCCEEDED
0xC561DDBA,NETWORK_END_SESSION
0x40490BCC,NETWORK_END_SESSION_PENDING
0x06F47F40,NETWORK_JOIN_GAME
0x68C293F4,NETWORK_JOIN_SUMMONS
0x7057787F,NETWORK_JOIN_GAME_PENDING
0x46E9E85E,NETWORK_JOIN_GAME_SUCCEEDED
0xE269A5EF,NETWORK_LEAVE_GAME
0x7AC97D6F,NETWORK_LEAVE_GAME_PENDING
0x59502186,NETWORK_IS_RENDEZVOUS_HOST
0x3ECEA8B7,NETWORK_GET_RENDEZVOUS_HOST_PLAYER_ID
0xBC50DADF,NETWORK_RETURN_TO_RENDEZVOUS
0xBD4A55B9,NETWORK_RETURN_TO_RENDEZVOUS_PENDING
0xBE1FEE66,NETWORK_RETURN_TO_RENDEZVOUS_SUCCEEDED
0x39D26713,NETWORK_GET_NUM_PARTY_MEMBERS
0x11A857E0,NETWORK_ALL_PARTY_MEMBERS_PRESENT
0x7EDD6266,NETWORK_KICK_PLAYER
0xA7B2E01A,NETWORK_GET_NUM_UNFILLED_RESERVATIONS
0xA52597AE,NETWORK_STORE_SINGLE_PLAYER_GAME
0x92B7351C,SHUTDOWN_AND_LAUNCH_SINGLE_PLAYER_GAME
0x691694D2,SHUTDOWN_AND_LAUNCH_NETWORK_GAME
0x1D8FEF54,IS_NETWORK_SESSION
0x3DF52521,IS_PARTY_MODE
0xCB8178A3,NETWORK_CHANGE_GAME_MODE
0x8226F769,NETWORK_CHANGE_GAME_MODE_PENDING
0xFBA800BC,NETWORK_CHANGE_GAME_MODE_SUCCEEDED
0x542F6097,NETWORK_GET_GAME_MODE
0x421E3E12,NETWORK_GET_NUM_OPEN_PUBLIC_SLOTS
0xE7DA761C,NETWORK_GET_MAX_SLOTS
0xFF2121DE,NETWORK_GET_MAX_PRIVATE_SLOTS
0xADCD9512,NETWORK_LIMIT_TO_16_PLAYERS
0x7715E2DB,NETWORK_EXPAND_TO_32_PLAYERS
0x6BAF95FA,NETWORK_SET_FRIENDLY_FIRE_OPTION
0xDD34E60C,NETWORK_GET_FRIENDLY_FIRE_OPTION
0x18319AA8,NETWORK_SET_HEALTH_RETICULE_OPTION
0x566D01E6,NETWORK_GET_HEALTH_RETICULE_OPTION
0x1AC95DB8,NETWORK_GET_TEAM_OPTION
0xAB1DB6B6,NETWORK_IS_GAME_RANKED
0xB375073A,NETWORK_IS_RENDEZVOUS
0xCEB6F262,NETWORK_IS_TVT
0xECDBC615,NETWORK_ADVERTISE_SESSION
0x4A0791A1,NETWORK_IS_SESSION_ADVERTISED
0x04504805,NETWORK_STORE_GAME_CONFIG
0xEA854794,NETWORK_RESTORE_GAME_CONFIG
0x16AEBE61,NETWORK_CHANGE_EXTENDED_GAME_CONFIG
0x53DF52BA,STORE_SCRIPT_VALUES_FOR_NETWORK_GAME
0x242AE86B,RESTORE_SCRIPT_VALUES_FOR_NETWORK_GAME
0x1F0045A3,GET_ONLINE_LAN
0x2D79F99C,SET_ONLINE_LAN
0x9C7296F4,GET_HOST_MATCH_ON
0x9660FD45,SET_HOST_MATCH_ON
0x39B5BDBD,GET_FILTER_MENU_ON
0xA836EDDC,SET_FILTER_MENU_ON
0x27E85514,GET_START_FROM_FILTER_MENU
0xD87D1555,SET_START_FROM_FILTER_MENU
0x0CD98CC2,SET_RETURN_TO_FILTER_MENU
0x9F44EE34,GET_RETURN_TO_FILTER_MENU
0xD8D46D4D,SET_GFWL_HAS_SAFE_HOUSE
0x7774811C,GET_GFWL_HAS_SAFE_HOUSE
0x27EBAAFD,SET_GFWL_IS_RETURNING_TO_SINGLE_PLAYER
0xAF4FAE7D,GET_GFWL_IS_RETURNING_TO_SINGLE_PLAYER
0xFF41EAAD,SET_CELLPHONE_RANKED
0xE8639CC8,GET_CELLPHONE_RANKED
0x57F9073C,GET_SERVER_ID
0xC1BEF9D0,SET_SERVER_ID
0x5F70F5A3,GET_HOST_ID
0x47C8E5FF,SET_NETWORK_ID_CAN_MIGRATE
0x68D486B2,SET_NETWORK_ID_EXISTS_ON_ALL_MACHINES
0x8D1404C1,SET_NETWORK_ID_STOP_SYNCING
0x42B1F401,SET_NETWORK_ID_STOP_CLONING
0xEDE75BC8,SET_NETWORK_ID_STOP_CLONING_FOR_ENEMIES
0xABE9B815,SET_CAR_STOP_CLONING
0x090340A6,SET_PED_STOP_CLONING
0xAF5955B2,SET_OBJECT_STOP_CLONING
0x597063BA,IS_DAMAGE_TRACKER_ACTIVE_ON_NETWORK_ID
0x95D07BA5,ACTIVATE_DAMAGE_TRACKER_ON_NETWORK_ID
0x56CBC08C,STORE_DAMAGE_TRACKER_FOR_NETWORK_PLAYER
0x1626C5C3,SET_THIS_MACHINE_RUNNING_SERVER_SCRIPT
0x23C5274E,IS_SPHERE_VISIBLE_TO_ANOTHER_MACHINE
0xBCDE0A76,HAS_NET_ID_BEEN_CLONED
0x391DF4F3,RESERVE_NETWORK_MISSION_OBJECTS
0x54998C37,RESERVE_NETWORK_MISSION_PEDS
0x5062875E,RESERVE_NETWORK_MISSION_VEHICLES
0x688376E9,RESERVE_NETWORK_MISSION_OBJECTS_FOR_HOST
0x3EA1D498,RESERVE_NETWORK_MISSION_PEDS_FOR_HOST
0x3D7B2A5E,RESERVE_NETWORK_MISSION_VEHICLES_FOR_HOST
