Hash(v1.0.7.0),Name
0x36600272,GET_ASPECT_RATIO
0x6C6F6052,LINE
0x39ED0C43,DRAW_CORONA
0x30D27EB1,DRAW_LIGHT_WITH_RANGE
0x769F6E66,DRAW_SPHERE
0x539572F3,DRAW_DEBUG_SPHERE
0x42252652,ADD_SPHERE
0x12A909C9,REMOVE_SPHERE
0x77513211,CREATE_USER_3D_MARKER
0x0C607EB8,REMOVE_USER_3D_MARKER
0x309860C4,DRAW_COLOURED_CYLINDER
0x41F27499,CREATE_CHECKPOINT
0x1293731D,DELETE_CHECKPOINT
0x29FC3E19,DRAW_CHECKPOINT
0x26810BE3,DRAW_CHECKPOINT_WITH_ALPHA
0x52FC763A,LOAD_TXD
0x44C27071,REMOVE_TXD
0x15D668D0,GET_TXD
0x0F5D1937,GET_TEXTURE
0x58524B04,RELEASE_TEXTURE
0x7C7B1237,REQUEST_STREAMED_TXD
0x5F9C43D4,HAS_STREAMED_TXD_LOADED
0x70EA2B89,MARK_STREAMED_TXD_AS_NO_LONGER_NEEDED
0x32C24491,GET_TEXTURE_FROM_STREAMED_TXD
0x6A9B79D8,USE_MASK
0x0D3A3160,SET_MASK
0x3B2526E3,DRAW_RECT
0x615959BA,SET_SPRITES_DRAW_BEFORE_FADE
0x523F11FD,SET_SPRITE_HDR_MULTIPLIER
0x6ADD40EC,DRAW_SPRITE
0x1849408D,DRAW_TOPLEVEL_SPRITE
0x51643697,TOGGLE_TOPLEVEL_SPRITE
0x58C41E8F,DRAW_SPRITE_WITH_UV
0x5AF23F31,SET_CURRENT_MOVIE
0x3CD60F11,PLAY_MOVIE
0x2E6F4C82,STOP_MOVIE
0x55C84CB7,RELEASE_MOVIE
0x26274628,DRAW_MOVIE
0x37871A37,SET_MOVIE_TIME
0x32486214,SET_MOVIE_VOLUME
0x232642DE,DRAW_WINDOW
0x4B684D0B,DRAW_CURVED_WINDOW
0x41596B09,ENABLE_SHADOWS
0x74FC2325,ENABLE_FANCY_WATER
0x6CFC30AD,ENABLE_DEFERRED_LIGHTING
0x4FE23851,SET_GLOBAL_RENDER_FLAGS
0x0D8A1BCF,GET_SCREEN_RESOLUTION
0x3CD830D0,GET_PHYSICAL_SCREEN_RESOLUTION
0x01A75F0C,GET_TEXTURE_RESOLUTION
0x0F0269B5,GET_IS_WIDESCREEN
0x19976813,GET_IS_HIDEF
0x4E68316C,FORCE_LOADING_SCREEN
0x21C44026,TRIGGER_PTFX
0x0A76502F,TRIGGER_PTFX_ON_PED
0x7D3C3C9D,TRIGGER_PTFX_ON_PED_BONE
0x3C7B6092,TRIGGER_PTFX_ON_VEH
0x50307F63,TRIGGER_PTFX_ON_OBJ
0x3A2A77F9,TRIGGER_PTFX_ON_OBJ_BONE
0x3A774777,START_PTFX
0x381C1F1C,START_PTFX_ON_PED
0x2209116C,START_PTFX_ON_PED_BONE
0x5C4B1A8A,START_PTFX_ON_VEH
0x0D8407E9,START_PTFX_ON_OBJ
0x60980323,START_PTFX_ON_OBJ_BONE
0x0EAA4429,STOP_PTFX
0x45472E9D,UPDATE_PTFX_OFFSETS
0x3CE05E7C,EVOLVE_PTFX
0x137E6800,SET_PTFX_CAM_INSIDE_VEHICLE
0x3FB14EC5,REMOVE_PTFX_FROM_VEHICLE
0x2FC9782A,REMOVE_PTFX_FROM_PED
0x69491CFA,WASH_VEHICLE_TEXTURES
0x3C997E4C,SET_TIMECYCLE_MODIFIER
0x60FB61A7,CLEAR_TIMECYCLE_MODIFIER
0x2BB9620F,GET_WATER_HEIGHT
0x67C82864,GET_WATER_HEIGHT_NO_WAVES
0x018A0EE0,SYNCH_RECORDING_WITH_WATER
0x775F6665,IS_PLACE_CAR_BOMB_ACTIVE
0x17572318,GET_PLAYER_TO_PLACE_BOMB_IN_CAR
