Hash(vConsole),Name
0x6E31E993,GET_PLAYER_PED
0x6AC64990,GET_PLAYER_PED_SCRIPT_INDEX
0x774A4C54,SET_PLAYER_MODEL
0xBE515485,CHANGE_PLAYER_PED
0x6EF43BBB,GET_PLAYER_RGB_COLOUR
0x4C1B8867,GET_NUMBER_OF_PLAYERS
0x9873E404,GET_PLAYER_TEAM
0x725ADCF2,SET_PLAYER_TEAM
0x406B4B20,GET_PLAYER_NAME
0x1CF7D7DA,GET_WANTED_LEVEL_RADIUS
0x821F2D2C,GET_PLAYER_WANTED_CENTRE_POSITION
0xF261633A,SET_PLAYER_WANTED_CENTRE_POSITION
0xD9783F6B,GET_WANTED_LEVEL_THRESHOLD
0xB7A0914B,SET_PLAYER_WANTED_LEVEL
0xED6F44F5,SET_PLAYER_WANTED_LEVEL_NO_DROP
0xAF3AFD83,SET_PLAYER_WANTED_LEVEL_NOW
0xE13A71C7,ARE_PLAYER_FLASHING_STARS_ABOUT_TO_DROP
0x5E72AB72,ARE_PLAYER_STARS_GREYED_OUT
0x48A18913,SET_DISPATCH_COPS_FOR_PLAYER
0x589A2661,IS_PLAYER_WANTED_LEVEL_GREATER
0x54EA5BCC,CLEAR_PLAYER_WANTED_LEVEL
0x140CA5A8,IS_PLAYER_DEAD
0xED1D1662,IS_PLAYER_PRESSING_HORN
0xD17AFCD8,SET_PLAYER_CONTROL
0xBDCDD163,GET_PLAYER_WANTED_LEVEL
0x665A06F5,SET_MAX_WANTED_LEVEL
0x8E114B10,SET_POLICE_RADAR_BLIPS
0xE6DE71B7,SET_POLICE_IGNORE_PLAYER
0xE15D777F,IS_PLAYER_PLAYING
0xC915285E,SET_EVERYONE_IGNORE_PLAYER
0x49EAE968,SET_ALL_RANDOM_PEDS_FLEE
0xBF974891,SET_ALL_RANDOM_PEDS_FLEE_THIS_FRAME
0xA3D675ED,SET_IGNORE_LOW_PRIORITY_SHOCKING_EVENTS
0x1359292F,SET_WANTED_LEVEL_MULTIPLIER
0xB552626C,SET_WANTED_LEVEL_DIFFICULTY
0xA64C378D,RESET_WANTED_LEVEL_DIFFICULTY
0x5F8A22A6,START_FIRING_AMNESTY
0xD8EB3A44,REPORT_CRIME
0x59B5C2A2,_SWITCH_CRIME_TYPE
0x6B34A160,AI_PHONE_ARGS
0x39E3CB3F,CAN_PLAYER_START_MISSION
0xBB77E9CD,IS_PLAYER_READY_FOR_CUTSCENE
0xF3240B77,IS_PLAYER_TARGETTING_ENTITY
0xF6AAA2D7,GET_PLAYER_TARGET_ENTITY
0x1DEC67B7,IS_PLAYER_FREE_AIMING
0x7D80EEAA,IS_PLAYER_FREE_AIMING_AT_ENTITY
0x8866D9D0,GET_ENTITY_PLAYER_IS_FREE_AIMING_AT
0x74D42C03,SET_PLAYER_LOCKON_RANGE_OVERRIDE
0xF4D99685,SET_PLAYER_CAN_DO_DRIVE_BY
0x71B305BB,SET_PLAYER_CAN_BE_HASSLED_BY_GANGS
0x13CAFAFA,SET_PLAYER_CAN_USE_COVER
0x457F1E44,GET_MAX_WANTED_LEVEL
0x456DB50D,IS_PLAYER_TARGETTING_ANYTHING
0x7DD7900C,SET_PLAYER_SPRINT
0xC0445A9C,RESET_PLAYER_STAMINA
0x62A93608,RESTORE_PLAYER_STAMINA
0x47017C90,GET_PLAYER_SPRINT_STAMINA_REMAINING
0x40E80543,GET_PLAYER_SPRINT_TIME_REMAINING
0x1317125A,GET_PLAYER_UNDERWATER_TIME_REMAINING
0xA5EDCDE8,GET_PLAYER_GROUP
0x02A50657,GET_PLAYER_MAX_ARMOUR
0x618857F2,IS_PLAYER_CONTROL_ON
0x61B00A84,IS_PLAYER_SCRIPT_CONTROL_ON
0x4A9E9AE0,IS_PLAYER_CLIMBING
0x7F6A60D3,IS_PLAYER_BEING_ARRESTED
0x453C7CAB,RESET_PLAYER_ARREST_STATE
0xE2757AC1,GET_PLAYERS_LAST_VEHICLE
0x309BBDC1,GET_PLAYER_INDEX
0x98DD98F1,INT_TO_PLAYERINDEX
0x98F3B274,INT_TO_PARTICIPANTINDEX
0x6E9B8B9E,GET_TIME_SINCE_PLAYER_HIT_VEHICLE
0xB6209195,GET_TIME_SINCE_PLAYER_HIT_PED
0x8836E732,GET_TIME_SINCE_PLAYER_DROVE_ON_PAVEMENT
0x9F27D00E,GET_TIME_SINCE_PLAYER_DROVE_AGAINST_TRAFFIC
0x85C7E232,IS_PLAYER_FREE_FOR_AMBIENT_TASK
0x8AEA886C,PLAYER_ID
0xFA92E226,PLAYER_PED_ID
0x8DD5B838,NETWORK_PLAYER_ID_TO_INT
0x4B37333C,HAS_FORCE_CLEANUP_OCCURRED
0xFDAAEA2B,FORCE_CLEANUP
0x04256C73,FORCE_CLEANUP_FOR_ALL_THREADS_WITH_THIS_NAME
0x882D3EB3,FORCE_CLEANUP_FOR_THREAD_WITH_THIS_ID
0x39AA9FC8,GET_CAUSE_OF_MOST_RECENT_FORCE_CLEANUP
0xA454DD29,SET_PLAYER_MAY_ONLY_ENTER_THIS_VEHICLE
0xAF7AFCC4,SET_PLAYER_MAY_NOT_ENTER_ANY_VEHICLE
0x822BC992,GIVE_ACHIEVEMENT_TO_PLAYER
0x136A5BE9,HAS_ACHIEVEMENT_BEEN_PASSED
0x9FAB6729,IS_PLAYER_ONLINE
0x8F72FAD0,IS_PLAYER_LOGGING_IN_NP
0x4264CED2,DISPLAY_SYSTEM_SIGNIN_UI
0xE495B6DA,IS_SYSTEM_UI_BEING_DISPLAYED
0xDFB9A2A2,SET_PLAYER_INVINCIBLE
0x680C90EE,GET_PLAYER_INVINCIBLE
0x6255F3B4,REMOVE_PLAYER_HELMET
0xC7B4D7AC,GIVE_PLAYER_RAGDOLL_CONTROL
0x0B270E0F,SET_PLAYER_LOCKON
0x61CAE253,SET_PLAYER_TARGETING_MODE
0x1D31CBBD,CLEAR_PLAYER_HAS_DAMAGED_AT_LEAST_ONE_PED
0x14F52453,HAS_PLAYER_DAMAGED_AT_LEAST_ONE_PED
0x7E3BFBC5,CLEAR_PLAYER_HAS_DAMAGED_AT_LEAST_ONE_NON_ANIMAL_PED
0xA3707DFC,HAS_PLAYER_DAMAGED_AT_LEAST_ONE_NON_ANIMAL_PED
0xF20F72E5,SET_AIR_DRAG_MULTIPLIER_FOR_PLAYERS_VEHICLE
0xB986FF47,SET_SWIM_MULTIPLIER_FOR_PLAYER
0x825423C2,SET_RUN_SPRINT_MULTIPLIER_FOR_PLAYER
0x62824EF4,GET_TIME_SINCE_LAST_ARREST
0x24BC5AC0,GET_TIME_SINCE_LAST_DEATH
0xF23277F3,ASSISTED_MOVEMENT_CLOSE_ROUTE
