NewHash(v1.58),BaseHash
4EDE34FBADD967A6,4EDE34FBADD967A6
E81651AD79516E48,E81651AD79516E48
B8BA7F44DF1575E1,B8BA7F44DF1575E1
EB1C67C3A5333A92,EB1C67C3A5333A92
C4BB298BD441BE78,C4BB298BD441BE78
83666F9FB8FEBD4B,83666F9FB8FEBD4B
C9D9444186B5A374,C9D9444186B5A374
C1B1E9A034A63A62,C1B1E9A034A63A62
5AE11BC36633DE4E,5AE11BC36633DE4E
0000000050597EE2,0000000050597EE2
0BADBFA3B172435F,0BADBFA3B172435F
D0FFB162F40A139C,D0FFB162F40A139C
71D93B57D07F9804,71D93B57D07F9804
E3621CC40F31FE2E,E3621CC40F31FE2E
652D2EEEF1D3E62C,652D2EEEF1D3E62C
A8CEACB4F35AE058,A8CEACB4F35AE058
2A488C176D52CCA5,2A488C176D52CCA5
B7A628320EFF8E47,B7A628320EFF8E47
EDD95A39E5544DE8,EDD95A39E5544DE8
97EF1E5BCE9DC075,97EF1E5BCE9DC075
F34EE736CF047844,F34EE736CF047844
11E019C8F43ACC8A,11E019C8F43ACC8A
F2DB717A73826179,F2DB717A73826179
BBDA792448DB5A89,BBDA792448DB5A89
4325115CEA2AE76C,CA52279A7271517F
9E2D6C50374FCFA9,4F8644AF03D0E0D6
3583A42587543334,5E9564D8246B909A
C378B7F0D175A5B0,E28E54788CE8F12D
F34D8FCAE3FD4EE4,D3C2E180A40F031E
04458B4E5D9E466A,D9D2CFFF49FAB35F
0152AA00FA3130F1,98A4EB5D89A0C952
2915D98110F23A29,1B5C85C612E5256E
A8D58C3AADA2C41C,D49F9B0955C367DE
C9FEFB406C44F60B,142A02425FF02BD9
E9E8955A780DDA01,5A859503B0C08678
ECD40FEF3CF43BDB,5C544BC6C57AC575
5A7ACD1CDF509B0D,D4E8E24955024033
27F66B7FE7DB7C3A,577D1284D6873711
3393D1B291D1BD1B,9C720776DAA43E7E
A9F390242F9EB2E1,F75B0D629E1C063D
080C97B891E2F3AA,6D0858B8EDFD2B7D
94953C3FF0664F66,B4EC2312F4E5B1F1
DE903AC1B5BBC358,B4EDDC19532BFB85
2C07CBAFAC54A645,AA391C728106F7AF
3D81769BEC61BFF8,629BFA74418D6239
7BACBB4C6A7B18B7,31D16B74C6E29D66
F79F112CE5999680,E6CC9F3BA0FB9EF1
B4C854DD86E40FDA,2C83A9DA6BFFC4F9
E5965CDF24F93A9F,7239B21A38F536BA
