NewOpcode(v1311),BaseOpcode
61,0
50,1
86,2
53,3
124,4
140,5
75,6
92,7
99,8
82,9
139,10
44,11
131,12
38,13
123,14
28,15
34,16
81,17
78,18
1,19
60,20
129,21
106,22
5,23
21,24
79,25
113,26
110,27
135,28
29,29
117,30
13,31
22,32
122,33
90,34
31,35
118,36
25,37
105,38
95,39
9,40
70,41
37,42
65,43
14,44
87,45
42,46
18,47
55,48
73,49
27,50
59,51
134,52
41,53
94,54
46,55
19,56
32,57
84,58
121,59
83,60
10,61
101,62
56,63
36,64
74,65
66,66
130,67
91,68
132,69
85,70
88,71
109,72
40,73
11,74
137,75
128,76
80,77
100,78
112,79
120,80
8,81
97,82
77,83
115,84
12,85
119,86
107,87
58,88
39,89
33,90
43,91
17,92
49,93
3,94
127,95
48,96
136,97
52,98
64,99
111,100
93,101
89,102
4,103
57,104
71,105
133,106
63,107
98,108
68,109
96,110
30,111
126,112
51,113
16,114
7,115
125,116
104,117
114,118
2,119
69,120
45,121
76,122
138,123
62,124
72,125
47,126
6,127
0,128
67,129
141,130
15,131
20,132
103,133
102,134
26,135
54,136
108,137
23,138
24,139
35,140
116,141
